IMO/LR/IHS No.,MMSI,Name of Ship,Built,Deadweight,Length,GT,Total HP Main Eng
9357303,309253000,GRACEFUL LEADER,2007-09,"20,986",199.960,"57,692","21,127"
9087489,309484000,CARNIVAL INSPIRATION,1996-02,"7,180",262.000,"70,367","57,430"
9338620,309509000,SWALLOW ACE,2007-11,"18,864",199.950,"58,685","21,128"
9342281,309653000,NORWEGIAN PEARL,2006-11,"10,000",294.150,"93,530","98,000"
9293894,309656000,FIRMAMENT ACE,2006-08,"17,713",199.990,"60,118","20,516"
9008732,309841000,BALTIC PEARL,1991-11,"10,713",150.010,"10,412","15,255"
9327023,309891000,PLOUTOS,2006-12,"73,711",228.600,"42,048","15,363"
9321251,309901000,MOL CELEBRATION,2008-02,"90,409",316.000,"86,692","85,546"
9053878,309933000,CARNIVAL IMAGINATION,1995-06,"7,180",262.000,"70,367","57,430"
9318503,309955000,ISTRA ACE,2007-08,"12,200",176.000,"41,000","17,185"
9104005,310327000,GRAND PRINCESS,1998-05,"8,418",289.516,"107,517","95,034"
9192363,310361000,STAR PRINCESS,2002-01,"10,852",289.510,"108,977","86,146"
9229659,310376000,CORAL PRINCESS,2002-12,"8,015",294.000,"91,627","85,223"
9230402,310384000,ISLAND PRINCESS,2003-06,"8,015",294.000,"92,822","85,223"
9293399,310500000,CROWN PRINCESS,2006-05,"13,294",288.630,"113,561","91,390"
9187887,310504000,PACIFIC PRINCESS,1999-07,"3,010",181.000,"30,312","25,284"
9333151,310531000,EMERALD PRINCESS,2007-03,"8,400",288.610,"113,561","91,366"
9252448,310559000,STENA CONQUEROR,2003-10,"47,323",182.500,"27,512","11,665"
9378462,310567000,RUBY PRINCESS,2008-10,"8,044",288.590,"113,561","91,366"
9343194,310710000,TEAM LEADER,2009-03,"46,070",182.900,"26,794","11,665"
9143544,310764000,KOBE EXPRESS,1997-12,"67,058",293.945,"53,523","55,920"
9143568,310765000,LONDON EXPRESS,1998-08,"66,577",294.040,"53,523","55,920"
9143556,310768000,DUESSELDORF EXPRESS,1998-03,"66,525",293.970,"53,523","55,920"
9672416,311000102,GENIUS HIGHWAY,2014-03,"21,000",199.960,"58,767","21,509"
9672404,311000104,GRAVITY HIGHWAY,2014-06,"21,000",199.950,"58,767","21,509"
1011604,311000106,SEA OWL,2013-07,236,62.000,"1,494","4,134"
9299563,311000138,PGC MARINA,2005-06,"72,807",228.600,"40,690","15,635"
9566617,311000147,MACAW ARROW,2014-01,"69,990",210.000,"44,866","12,767"
9690523,311000187,HARVEST LEADER,2014-10,"20,941",199.971,"71,177","17,576"
9687162,311000235,LAWIN ARROW,2014-09,"62,841",199.980,"37,150","10,510"
9489168,311000296,RAVNI KOTARI,2010-02,"34,373",180.000,"23,400","10,686"
9465320,311000299,BIOGRAD,2010-04,"37,729",189.952,"24,099","10,018"
9700299,311000317,AFRICAN ROOK,2015-02,"37,686",183.000,"23,750","9,103"
9228734,311000421,CSL FRONTIER,2001-11,"47,761",197.100,"32,881","15,357"
9484089,311000466,LEYTE SPIRIT,2011-06,"109,676",243.000,"60,193","18,450"
9572276,311000467,LUZON SPIRIT,2011-10,"109,581",243.000,"60,193","18,450"
9314636,311002600,FRANCESCO CORRADO,2008-05,"77,061",225.000,"40,154","12,670"
9391579,311002800,SERENITY ACE,2008-12,"21,004",199.980,"57,692","21,509"
9441506,311002900,DIGNITY ACE,2010-09,"20,589",199.950,"58,767","19,415"
9391593,311003100,RCC EUROPE,2009-06,"21,300",199.900,"57,692","21,509"
9391567,311003300,GENTLE LEADER,2008-10,"21,122",199.920,"57,692","22,651"
9388716,311003400,GUARDIAN LEADER,2008-07,"21,182",199.980,"57,692","21,508"
9446881,311003900,ADRIA ACE,2009-05,"12,300",176.000,"41,009","17,185"
9338840,311013600,SUNRISE ACE,2008-12,"18,864",199.950,"58,685","20,571"
9381835,311015200,GULF MUTTRAH,2009-03,"46,556",183.000,"29,508","11,690"
9381847,311017100,GULF RASTAQ,2009-05,"46,554",183.220,"29,508","11,690"
9338864,311018600,SUNLIGHT ACE,2009-06,"18,855",199.950,"58,911","21,509"
9385489,311029200,TENCA ARROW,2009-11,"69,990",225.000,"44,684","17,100"
9542532,311035400,CS CALVINA,2011-10,"37,456",189.900,"24,065","10,018"
